timestamp,open,high,low,close,volume
2024-10-28 19:55:00,212.6200,212.7000,212.4000,212.7000,52
2024-10-28 19:50:00,212.7500,212.7600,212.6900,212.6900,1207
2024-10-28 19:45:00,212.7600,212.8220,212.7600,212.8220,41
2024-10-28 19:40:00,212.8100,212.8100,212.8100,212.8100,2
2024-10-28 19:35:00,212.7545,212.8400,212.7500,212.8220,63
2024-10-28 19:30:00,212.7600,212.7600,212.7600,212.7600,3
2024-10-28 19:20:00,212.8300,212.8400,212.7600,212.8300,759
2024-10-28 19:05:00,212.8100,212.8100,212.8100,212.8100,131
2024-10-28 19:00:00,212.9100,212.9100,212.8100,212.8300,972374
2024-10-28 18:55:00,212.8200,212.8400,212.8200,212.8400,458
2024-10-28 18:50:00,212.8400,212.8400,212.8200,212.8200,42
2024-10-28 18:40:00,212.8400,212.8400,212.8300,212.8300,14
2024-10-28 18:35:00,212.8400,212.8400,212.8400,212.8400,3
2024-10-28 18:30:00,212.9100,212.9100,212.8395,212.8395,972319
2024-10-28 18:25:00,212.8200,212.8387,212.8200,212.8200,140
2024-10-28 18:20:00,212.8200,212.8300,212.8200,212.8200,34
2024-10-28 18:15:00,212.8100,212.8400,212.8100,212.8400,51
2024-10-28 18:10:00,212.8800,212.8800,212.8800,212.8800,10
2024-10-28 18:05:00,212.8300,212.8500,212.8100,212.8100,151
2024-10-28 18:00:00,212.8300,212.9900,212.8300,212.8300,957
2024-10-28 17:55:00,212.8300,212.8300,212.8300,212.8300,113
2024-10-28 17:50:00,212.9000,212.9200,212.8119,212.8300,67
2024-10-28 17:45:00,212.9899,212.9899,212.9100,212.9200,8
2024-10-28 17:40:00,212.9200,212.9550,212.9100,212.9200,6
2024-10-28 17:35:00,212.9900,212.9900,212.9900,212.9900,1
2024-10-28 17:30:00,212.9400,212.9900,212.9400,212.9900,105
2024-10-28 17:25:00,212.9100,212.9900,212.8900,212.8900,220
2024-10-28 17:20:00,212.9100,212.9900,212.9100,212.9900,30
2024-10-28 17:15:00,212.9500,212.9900,212.9200,212.9600,28
2024-10-28 17:10:00,212.9100,212.9500,212.9100,212.9500,14
2024-10-28 17:05:00,212.9600,212.9600,212.9000,212.9600,63
2024-10-28 17:00:00,212.9900,212.9900,212.8200,212.9000,12
2024-10-28 16:55:00,212.9900,212.9900,212.9000,212.9100,16
2024-10-28 16:50:00,212.9900,212.9900,212.8100,212.8100,27
2024-10-28 16:45:00,212.9200,213.0000,212.7500,212.8000,338
2024-10-28 16:40:00,212.7500,213.1500,212.7500,212.7500,12
2024-10-28 16:35:00,212.8500,213.0000,212.8200,213.0000,429
2024-10-28 16:30:00,212.9900,213.0000,212.9200,212.9200,12
2024-10-28 16:25:00,212.8600,213.0850,212.7500,212.8700,783
2024-10-28 16:20:00,212.9000,213.0850,212.7600,212.8600,419
2024-10-28 16:15:00,212.9100,212.9800,212.7900,212.9100,579
2024-10-28 16:10:00,212.9100,212.9800,212.7000,212.9800,974332
2024-10-28 16:05:00,212.9000,212.9100,212.1100,212.7100,4322
2024-10-28 16:00:00,212.9100,213.3200,212.0000,212.7900,2074321
2024-10-28 15:55:00,212.8800,212.9800,212.7000,212.9100,328687
2024-10-28 15:50:00,213.0900,213.1900,212.7650,212.9000,142557
2024-10-28 15:45:00,213.1100,213.1400,213.0250,213.0700,72144
2024-10-28 15:40:00,213.1600,213.2800,213.0800,213.1000,50027
2024-10-28 15:35:00,213.1700,213.2100,213.1000,213.1600,49839
2024-10-28 15:30:00,213.1400,213.2550,213.1000,213.1700,55328
2024-10-28 15:25:00,213.2500,213.2700,213.1100,213.1100,46679
2024-10-28 15:20:00,213.1600,213.3000,213.1000,213.2575,84535
2024-10-28 15:15:00,213.1800,213.3050,213.1100,213.1700,66442
2024-10-28 15:10:00,213.1950,213.2600,213.1800,213.1900,28007
2024-10-28 15:05:00,213.1950,213.2700,213.1700,213.2000,47156
2024-10-28 15:00:00,213.0500,213.3000,213.0300,213.1950,28293
2024-10-28 14:55:00,213.2966,213.3400,213.1100,213.1100,29000
2024-10-28 14:50:00,213.2300,213.3900,213.2150,213.2900,29391
2024-10-28 14:45:00,213.2100,213.2400,213.1400,213.1900,33041
2024-10-28 14:40:00,213.1600,213.3400,213.1400,213.2400,27470
2024-10-28 14:35:00,213.0650,213.2400,213.0200,213.1550,63547
2024-10-28 14:30:00,213.2200,213.3700,213.0300,213.0500,44162
2024-10-28 14:25:00,213.2700,213.3450,213.2100,213.2150,24947
2024-10-28 14:20:00,213.2242,213.2600,213.1100,213.2600,55088
2024-10-28 14:15:00,213.3447,213.3700,213.2100,213.2250,44928
2024-10-28 14:10:00,213.4100,213.4500,213.3300,213.3400,22942
2024-10-28 14:05:00,213.4850,213.5300,213.4050,213.4100,26792
2024-10-28 14:00:00,213.4900,213.5400,213.3800,213.5000,33791
2024-10-28 13:55:00,213.4600,213.5600,213.4101,213.4700,30562
2024-10-28 13:50:00,213.3550,213.4700,213.3000,213.4200,24033
2024-10-28 13:45:00,213.4499,213.4600,213.2600,213.3700,23714
2024-10-28 13:40:00,213.3600,213.4600,213.3300,213.4200,24764
2024-10-28 13:35:00,213.4200,213.4550,213.2900,213.3600,27947
2024-10-28 13:30:00,213.3800,213.5300,213.2500,213.4550,58258
2024-10-28 13:25:00,213.4550,213.5400,213.3700,213.3940,29511
2024-10-28 13:20:00,213.6300,213.7200,213.3600,213.4200,64413
2024-10-28 13:15:00,213.1550,213.6300,213.1200,213.6300,54498
2024-10-28 13:10:00,213.3900,213.4300,213.1450,213.1550,48889
2024-10-28 13:05:00,213.0900,213.5500,213.0701,213.3900,40699
2024-10-28 13:00:00,213.1600,213.2000,213.1000,213.1100,29832
2024-10-28 12:55:00,213.2001,213.2700,213.1100,213.1500,32085
2024-10-28 12:50:00,213.1450,213.2000,213.0900,213.2000,26472
2024-10-28 12:45:00,213.2700,213.2800,213.0617,213.1400,29229
2024-10-28 12:40:00,213.1379,213.3100,213.0700,213.3100,31935
2024-10-28 12:35:00,213.1250,213.1800,213.0100,213.1100,39773
2024-10-28 12:30:00,213.2600,213.3000,213.0701,213.1100,28417
2024-10-28 12:25:00,213.2500,213.3600,213.2101,213.2601,28492
2024-10-28 12:20:00,213.3250,213.3500,213.1800,213.2400,27333
2024-10-28 12:15:00,213.3550,213.3590,213.1900,213.3000,20296
